name harvest
size 30 30
food 25 21 1
food 25 22 1
food 25 23 1
food 25 24 1
food 25 25 1
food 25 26 1
food 25 27 1
food 26 13 1
food 26 14 1
food 26 15 1
food 26 16 1
food 26 17 1
food 26 18 1
food 26 19 1
food 26 20 1
food 26 21 1
food 26 22 1
food 26 23 1
food 26 24 1
food 26 25 1
food 26 26 1
food 26 27 1
food 27 14 1
food 27 15 1
food 27 16 1
food 27 17 1
food 27 18 1
food 27 19 1
food 27 20 1
food 27 21 1
food 27 22 1
food 27 23 1
food 27 24 1
food 27 25 1
food 27 26 1
food 27 27 1
food 27 28 1
food 28 14 1
food 28 15 1
food 28 16 1
food 28 17 1
food 28 18 1
food 28 19 1
food 28 20 1
food 28 21 1
food 28 22 1
food 28 23 1
food 28 24 1
food 28 25 1
food 28 26 1
food 28 27 1
food 28 28 1
food 29 16 1
food 29 17 1
food 29 18 1
food 29 19 1
food 29 20 1
food 29 21 1
food 29 22 1
food 29 23 1
food 29 24 1
food 29 25 1
food 29 26 1
food 29 27 1
food 29 28 1

